Date,TP,TDP,SRP,SS,SS_min
1995-02-16,146.0,,,68.8,64.2
1995-02-23,677.0,,,708.0,668.0
1995-03-28,34.7,,,8.3,7.7
1995-03-29,38.2,,,8.5,7.2
1995-04-06,35.5,,,8.4,7.2
1995-04-24,50.5,,,17.0,14.6
1995-05-08,30.4,,,7.5,6.3
1995-05-22,22.9,,,8.0,6.7
1995-05-30,25.5,,,7.3,5.7
1995-06-06,33.4,,,7.7,6.4
1995-06-15,239.0,,,103.0,94.4
1995-06-19,260.0,,,62.4,54.8
1995-07-12,49.0,,,7.5,4.9
1995-07-19,50.9,,,9.3,7.5
1995-07-26,51.6,,,7.3,3.2
1995-08-08,156.0,,,42.0,37.0
1995-08-15,58.9,,,7.5,5.2
1995-08-28,45.4,,,6.4,2.7
1995-09-13,49.7,,,6.1,4.6
1995-09-15,48.2,,,6.7,4.9
1995-09-26,65.5,,,12.8,9.9
1995-10-09,69.8,,,14.1,11.8
1995-10-23,27.4,,,3.6,2.6
1995-11-06,29.8,,,4.4,3.7
1995-11-20,27.6,,,7.9,2.9
1995-12-04,29.0,,,3.8,2.9
1996-02-06,36.9,,,2.9,2.3
1996-02-12,41.3,,,3.5,2.6
1996-02-26,40.9,,,3.1,4.0
1996-03-05,63.0,,,7.2,6.1
1996-03-11,54.8,,,4.4,3.1
1996-03-18,52.2,,,4.5,3.3
1996-03-25,52.6,,,5.0,4.3
1996-04-01,170.0,,,32.1,26.7
1996-04-09,878.0,,,380.0,353.0
1996-04-15,180.0,,,54.0,48.0
1996-04-22,92.3,,,34.2,30.0
1996-04-29,97.0,,,17.4,15.1
1996-05-06,444.0,,,284.0,267.0
1996-05-13,46.8,,,10.8,8.6
1996-05-20,52.1,,,13.1,11.3
1996-05-28,341.0,,,167.0,152.0
1996-06-03,51.9,,,15.3,12.6
1996-06-10,50.3,,,11.7,9.5
1996-06-17,46.2,,,9.4,7.4
